,fk_maquina,nome,data_medicao,cpu_frequencia,cpu_porcentagem,cpu_temperatura,disco_livre,disco_porcentagem,ram_livre,ram_porcentagem
0,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:03:41,99.0,65.0,27.85,240.73,74.16,0.94,88.02
1,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:07:54,99.0,68.91,27.85,240.45,74.19,0.85,88.9
2,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:08:06,99.0,44.62,27.85,240.44,74.19,0.81,89.66
3,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:08:14,99.0,44.22,27.85,240.43,74.19,0.87,89.03
4,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:08:23,99.0,52.35,27.85,240.42,74.19,0.85,89.03
5,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:08:32,99.0,54.96,27.85,240.42,74.19,0.81,90.04
6,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:08:41,99.0,51.17,27.85,240.41,74.19,0.82,89.41
7,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:08:49,99.0,35.77,27.85,240.4,74.19,0.84,89.53
8,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:08:58,99.0,46.13,27.85,240.4,74.19,0.81,89.79
9,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:09:06,99.0,36.92,27.85,240.4,74.19,0.82,89.53
10,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:09:14,99.0,56.43,27.85,240.39,74.19,0.82,89.53
11,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:09:23,99.0,48.82,27.85,240.39,74.19,0.8,89.91
12,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:09:31,99.0,41.56,27.85,240.39,74.19,0.82,89.53
13,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:09:39,99.0,58.46,27.85,240.38,74.19,0.8,90.04
14,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:09:48,99.0,80.79,27.85,240.37,74.2,0.79,89.91
15,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:09:57,99.0,64.22,27.85,240.33,74.2,0.73,91.05
16,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:10:07,99.0,39.77,27.85,240.33,74.2,0.76,90.16
17,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:10:16,99.0,40.4,27.85,240.31,74.2,0.78,90.42
18,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:10:24,99.0,52.31,27.85,240.29,74.2,0.77,90.42
19,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:10:33,99.0,70.84,27.85,240.28,74.21,0.7,91.17
20,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:10:41,99.0,64.23,27.85,240.28,74.21,0.71,90.67
21,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:10:50,99.0,60.56,27.85,240.26,74.21,0.7,91.05
22,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:11:01,99.0,40.39,27.85,240.25,74.21,0.7,91.3
23,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:11:10,99.0,45.33,27.85,240.25,74.21,0.7,91.05
24,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:11:18,99.0,56.02,27.85,240.25,74.21,0.71,91.17
25,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:11:26,99.0,53.46,27.85,240.24,74.21,0.69,91.17
26,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:11:34,99.0,49.62,27.85,240.24,74.21,0.72,90.79
27,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:11:42,99.0,54.69,27.85,240.24,74.21,0.72,90.79
