id_maquina,nome,data_medicao,cpu_frequencia,cpu_porcentagem,cpu_temperatura,disco_livre,disco_porcentagem,ram_livre,ram_porcentagem
a3:4e:5e:38:96:be,Server3,2021-10-26 08:35:33,110.0,65.0,55.0,190.0,65.0,2.0,65.0
a3:4e:5e:38:96:be,Server3,2021-10-26 08:35:38,100.0,60.0,50.0,290.0,60.0,3.0,60.0
a3:4e:5e:38:96:be,Server3,2021-10-26 08:35:43,104.0,70.0,57.5,160.0,70.0,1.5,70.0
a3:4e:5e:38:96:be,Server3,2021-10-26 08:35:48,110.0,65.0,55.0,190.0,65.0,2.0,65.0
a3:4e:5e:38:96:be,Server3,2021-10-26 08:35:53,100.0,60.0,50.0,290.0,60.0,3.0,60.0
a3:4e:5e:38:96:be,Server3,2021-10-26 08:35:58,104.0,70.0,57.5,160.0,70.0,1.5,70.0
a3:4e:5e:38:96:be,Server3,2021-10-26 08:36:03,110.0,65.0,55.0,190.0,65.0,2.0,65.0
a3:4e:5e:38:96:be,Server3,2021-10-26 08:36:08,100.0,60.0,50.0,290.0,60.0,3.0,60.0
a3:4e:5e:38:96:be,Server3,2021-10-26 08:36:14,104.0,70.0,57.5,160.0,70.0,1.5,70.0
a3:4e:5e:38:96:be,Server3,2021-10-26 08:36:19,110.0,65.0,55.0,190.0,65.0,2.0,65.0
a3:4e:5e:38:96:be,Server3,2021-10-26 08:36:24,100.0,60.0,50.0,290.0,60.0,3.0,60.0
a3:4e:5e:38:96:be,Server3,2021-10-26 08:36:29,104.0,70.0,57.5,160.0,70.0,1.5,70.0
